i,gravid,classe
1,39.1745,2
2,38.4636,2
3,50.4896,2
4,36.267,2
5,63.9951,3
6,17.0541,1
7,34.6806,2
8,70.1667,3
9,30.2943,2
10,13.8474,1
11,47.9524,2
12,35.7131,2
13,13.3482,1
14,34.1214,2
15,14.0324,1
16,64.4508,3
17,63.7509,3
18,32.8256,2
19,44.0508,2
20,38.1476,2
21,38.646,2
22,68.912,3
23,49.8562,3
24,48.1484,2
25,63.6513,3
26,50.4791,3
27,25.7605,1
28,38.4731,2
29,36.2288,2
30,51.9514,3
31,40.8795,2
32,44.8589,2
33,29.9994,2
34,64.0124,3
35,41.0555,2
36,42.6811,2
37,54.1828,3
38,46.1126,2
39,13.3544,1
40,49.1183,3
41,56.6877,3
42,36.4678,2
43,13.8975,1
44,39.4086,2
45,27.6792,2
46,84.229,4
47,51.4961,3
48,35.5083,2
49,14.488,1
50,13.3264,1
51,67.5164,3
52,41.5514,2
53,41.1957,2
54,43.1145,2
55,51.1616,2
56,59.4958,3
57,33.0067,2
58,61.1868,3
59,25.4738,2
60,59.0385,3
61,29.6774,2
62,47.6559,2
63,39.0385,2
64,55.0388,3
65,35.0924,2
66,66.3142,3
67,44.8082,2
68,27.0086,2
69,65.4292,3
70,32.3212,2
71,13.5796,1
72,58.0576,3
73,59.5043,3
74,64.1746,3
75,37.6142,2
76,53.4584,3
77,46.0925,2
78,57.4547,3
79,62.5076,3
80,37.4388,2
81,62.2547,3
82,44.9132,2
83,54.2547,3
84,41.4636,2
85,30.1919,2
86,61.6155,3
87,13.2932,1
88,39.5303,2
89,72.0897,3
90,37.8808,2
91,47.1585,2
92,39.586,2
93,25.5065,2
94,38.0588,2
95,14.5287,1
96,26.9748,2
97,73.1293,3
98,66.311,3
99,44.2835,2
100,54.8712,3
101,27.0793,2
102,32.4342,2
103,47.6669,2
104,63.627,3
105,63.712,3
106,42.9786,2
107,67.2319,3
108,57.3094,3
109,39.9896,2
110,13.8304,1
111,39.8431,2
112,34.309,2
113,70.1689,3
114,39.7528,2
115,61.5839,3
116,14.1006,1
117,25.5044,2
118,50.827,2
119,41.0187,2
120,54.8166,3
121,27.4454,2
122,45.3019,2
123,38.8818,2
124,41.2428,2
125,38.2392,2
126,35.3833,2
127,14.3196,1
128,24.8475,1
129,32.4167,2
130,15.7786,1
131,39.6826,2
132,13.3025,1
133,51.5419,2
134,35.6329,2
135,29.9248,2
136,62.7273,3
137,50.3898,3
138,32.3579,2
139,54.0433,3
140,27.3895,2
141,13.3768,1
142,45.1346,2
143,73.3303,3
144,37.7313,2
145,42.64,2
146,52.8975,3
147,43.1025,2
148,26.9372,2
149,39.9346,2
150,28.3944,2
151,54.8715,3
152,18.5726,1
153,37.4867,2
154,28.614,2
155,45.8973,2
156,26.6856,2
157,61.3733,3
158,61.7524,3
159,39.7028,2
160,38.3992,2
161,17.9376,1
162,51.1543,3
163,22.179,1
164,49.7286,3
165,14.5051,1
166,57.9429,3
167,14.9365,1
168,13.2658,1
169,43.2674,2
170,64.2379,3
171,39.1701,2
172,47.1541,2
173,54.0994,3
174,27.3608,2
175,51.1881,3
176,66.8835,3
177,25.146,1
178,39.5255,2
179,50.3238,3
180,39.4653,2
181,39.6811,2
182,61.0456,3
183,35.6778,2
184,71.2829,3
185,51.4289,2
186,55.919,3
187,47.3255,2
188,40.531,2
189,50.9415,3
190,16.1737,1
191,52.0006,3
192,33.527,2
193,25.2886,2
194,39.1107,2
195,60.5778,3
196,33.5071,2
197,46.7964,2
198,45.5596,2
199,37.5243,2
200,14.2997,1
201,37.1411,2
202,48.7117,3
203,50.2922,2
204,39.0888,2
205,25.1924,1
206,45.9301,2
207,39.5822,2
208,37.4625,2
209,33.4866,2
210,30.8242,2
211,61.4121,3
212,62.0465,3
213,43.2011,2
214,44.4068,2
215,14.2632,1
216,71.148,3
217,27.1409,2
218,14.4291,1
219,68.1963,3
220,52.9467,3
221,55.3384,3
222,45.5482,2
223,40.5365,2
224,62.2953,3
225,56.2065,3
226,38.9915,2
227,60.9343,3
228,72.1945,3
229,40.6567,2
230,43.0619,2
231,34.4182,2
232,37.9999,2
233,55.2803,3
234,53.6433,3
235,43.649,2
236,39.6313,2
237,43.7146,2
238,68.044,3
239,56.9745,3
240,46.0526,2
241,63.8462,3
242,71.6018,3
243,13.3546,1
244,45.1236,2
245,32.8235,2
246,52.9679,3
247,38.1386,2
248,57.6042,3
249,27.1726,2
250,38.8015,2
251,53.5528,3
252,74.8354,4
253,39.5372,2
254,72.1127,3
255,38.1342,2
256,54.7344,2
257,33.752,2
258,50.5751,2
259,58.737,3
260,37.4337,2
261,27.2638,2
262,38.6275,2
263,34.8329,2
264,56.1015,3
265,46.2203,2
266,37.7711,2
267,25.4493,2
268,24.7274,1
269,27.13,2
270,17.1341,1
271,54.4401,3
272,42.3173,2
273,38.9199,2
274,49.2318,2
275,17.577,1
276,21.442,1
277,32.8189,2
278,31.4698,2
279,39.9648,2
280,50.9571,3
281,42.9384,2
282,35.2069,2
283,56.4874,3
284,40.3407,2
285,13.2466,1
286,25.2498,2
287,47.7881,2
288,59.8515,3
289,31.5002,2
290,26.17,2
291,65.2278,3
292,39.1269,2
293,13.5072,1
294,56.6167,3
295,32.5187,2
296,36.8608,2
297,13.3298,1
298,39.5548,2
299,37.8994,2
300,61.6163,3
301,32.348,2
302,76.0557,4
303,17.0517,1
304,45.8893,2
305,57.4334,3
306,24.7761,1
307,34.2908,2
308,26.5654,2
309,32.7228,2
310,28.1995,2
311,47.5383,2
312,51.9253,3
313,13.8887,1
314,64.0147,3
315,13.3508,1
316,53.3601,3
317,36.6421,2
318,49.6929,2
319,41.7659,2
320,34.7313,2
321,46.8267,2
322,25.2294,1
323,38.1766,2
324,13.2565,1
325,42.6544,2
326,47.9872,2
327,44.3398,2
328,62.1331,3
329,40.1489,2
330,67.2765,3
331,50.0202,3
332,56.9695,3
333,54.9011,3
334,38.9352,2
335,27.0806,2
336,67.7622,3
337,57.8137,3
338,62.865,3
339,31.0308,2
340,64.9519,3
341,40.9037,2
342,24.7896,1
343,65.8233,3
344,67.3025,3
345,50.4591,3
346,63.4304,3
347,59.4152,3
348,13.2756,1
349,46.8642,2
350,38.656,2
351,50.5815,3
352,61.0596,3
353,37.1927,2
354,46.7881,2
355,17.0729,1
356,37.0615,2
357,62.6378,3
358,27.5555,2
359,30.968,2
360,51.3558,2
361,62.8836,3
362,44.4704,2
363,44.0859,2
364,64.4449,3
365,27.0378,2
366,28.8792,2
367,72.5425,4
368,39.4883,2
369,38.6717,2
370,33.0923,2
371,46.5214,2
372,24.4842,1
373,44.0974,2
374,39.617,2
375,25.3124,2
376,27.5215,2
377,58.8667,3
378,64.106,3
379,59.8632,3
380,57.7458,3
381,67.3878,3
382,71.603,3
383,46.2307,2
384,70.116,3
385,31.6231,2
386,13.7922,1
387,39.1993,2
388,25.5825,2
389,64.1957,3
390,38.588,2
391,51.1633,3
392,13.6924,1
393,33.0734,2
394,59.4507,3
395,48.9066,2
396,46.0611,2
397,24.8171,1
398,31.8652,2
399,28.6609,2
400,67.493,3
401,67.7211,3
402,31.556,2
403,63.1573,3
404,50.8113,2
405,54.5569,3
406,16.1551,1
407,27.0512,1
408,60.4921,3
409,42.7026,2
410,38.0916,2
411,25.7806,2
412,52.1208,3
413,39.2384,2
414,37.3073,2
415,14.211,1
416,23.331,1
417,42.9929,2
418,67.6205,3
419,27.4854,2
420,46.475,2
421,13.4478,1
422,47.4885,2
423,37.1457,2
424,28.6365,2
425,56.2041,3
426,56.7909,3
427,66.1636,3
428,39.3592,2
429,47.1084,2
430,14.183,1
431,39.5322,2
432,38.0096,2
433,36.2962,2
434,13.2594,1
435,42.4858,2
436,40.5475,2
437,35.8115,2
438,36.2707,2
439,64.3139,3
440,74.4368,4
441,30.7565,2
442,47.8156,2
443,45.9573,2
444,34.4393,2
445,41.0675,2
446,13.3356,1
447,65.2818,3
448,65.8184,3
449,35.4402,2
450,64.5428,3
451,37.8441,2
452,55.4212,3
453,40.5629,2
454,42.9247,2
455,59.4579,3
456,29.8445,2
457,31.0768,2
458,38.4394,2
459,45.8467,2
460,57.4742,2
461,26.7573,2
462,14.6188,1
463,40.31,2
464,28.5931,2
465,44.0138,2
466,25.1833,2
467,67.4977,3
468,18.4921,1
469,27.4812,2
470,13.5706,1
471,70.7272,3
472,53.1093,3
473,50.9666,2
474,44.7294,2
475,58.7906,3
476,39.5589,2
477,55.3623,3
478,36.721,2
479,65.8401,3
480,48.5159,2
481,35.8712,2
482,45.2586,2
483,55.1221,3
484,36.7809,2
485,46.0269,2
486,34.4286,2
487,39.4693,2
488,43.7043,2
489,41.046,2
490,64.8301,3
491,47.614,2
492,44.0424,2
493,13.9,1
494,62.8639,3
495,48.1321,2
496,39.5179,2
497,39.7364,2
498,13.2488,1
499,68.7809,3
500,31.7031,2
501,25.3185,2
502,46.3984,2
503,21.4357,1
504,68.7121,3
505,38.1263,2
506,36.8212,2
507,30.1893,2
508,42.2063,2
509,51.6829,3
510,42.389,2
511,39.8643,2
512,36.7004,2
513,63.5269,3
514,49.5349,2
515,38.4988,2
516,37.3478,2
517,71.6153,3
518,37.4748,2
519,45.3545,2
520,35.865,2
521,45.1128,2
522,54.8297,3
523,25.4962,1
524,13.394,1
525,48.2776,2
526,36.9171,2
527,13.4516,1
528,14.7218,1
529,37.9304,2
530,63.4674,3
531,18.8807,1
532,34.6734,2
533,44.8829,2
534,38.1625,2
535,38.2908,2
536,60.1249,3
537,58.0557,3
538,32.051,2
539,67.0841,3
540,39.6677,2
541,49.9586,3
542,25.5389,1
543,46.7196,2
544,26.933,2
545,27.1719,2
546,20.2532,1
547,49.3277,2
548,25.2006,2
549,32.1253,2
550,70.4162,3
551,45.6105,2
552,45.8776,2
553,54.1095,3
554,30.8881,2
555,45.497,2
556,28.1542,2
557,39.0758,2
558,34.491,2
559,74.3508,4
560,48.4762,3
561,14.4254,1
562,45.4221,2
563,13.2475,1
564,54.9084,3
565,21.0838,1
566,55.1386,3
567,36.0074,2
568,33.4446,2
569,42.1856,2
570,71.8438,3
571,43.9292,2
572,15.2075,1
573,51.1041,2
574,29.6121,2
575,44.435,2
576,28.3344,2
577,55.5046,3
578,41.5829,2
579,15.6631,1
580,13.2637,1
581,60.9333,3
582,50.6231,2
583,50.2305,2
584,67.3805,3
585,34.2409,2
586,52.4479,3
587,31.9114,2
588,14.7211,1
589,38.4525,2
